Indice;Categoria;Nombre del KPI;Descripcion Funcional;Objetivo de negocio;Formula tecnica;Ejemplo de aplicacion del KPI;Grafico recomendado;Puntaje Relevancia
25;Estructura y Demografía;Headcount Total (Active Headcount);Contabiliza el número exacto de empleados con contrato activo al cierre del periodo, independientemente de la modalidad de jornada o tipo de contrato. Es el denominador de la mayoría de los KPIs de People Analytics y su precisión determina la calidad de todos los indicadores derivados. Se diferencia del FTE en que cada empleado cuenta como una unidad entera sin importar si trabaja tiempo parcial. Es el KPI de referencia para la planificación de dotación, el seguimiento del presupuesto de nómina y la comparación entre periodos y entre empresas del grupo.; Mantener un conteo exacto y actualizado del número de empleados con contrato activo como denominador base de todos los KPIs de People Analytics, con el fin de garantizar la precisión de los indicadores derivados, habilitar el seguimiento mensual del presupuesto de dotación aprobado, y proporcionar la señal de referencia para decisiones de planificación de fuerza laboral y control del gasto en nómina.;Conteo de empleados con contrato activo al cierre del periodo (fecha de corte definida por la empresa);"Empresa: Textiles Andinos S.A.S. | Periodo: cierre abril 2025

Datos:
  Headcount cierre marzo 2025:    2.985 empleados
  Ingresos en abril:                 87 empleados
    Fabrica Bogota:   42 operarios nuevos
    Fabrica Medellin: 28 operarios nuevos
    Locales:          17 asesores nuevos
  Egresos en abril:                  72 empleados
    Renuncias voluntarias: 48
    Terminaciones de contrato: 24
  Headcount cierre abril 2025:    3.000 empleados

Calculo:
  Headcount = 2.985 + 87 - 72 = 3.000
  Variacion neta: +15 empleados (+0.5%)";"¿Cuántos empleados activos tenemos hoy y cómo ha evolucionado la plantilla en el último año?
__ Gráfico combinado: línea de headcount neto + barras de ingresos y egresos por mes — La línea muestra la evolución neta. Las barras apiladas (verde = ingresos, rojo = egresos) por mes explican por qué la línea sube o baja. Juntos responden el estado y la causa sin necesitar dos páginas.";10.0
66;Desarrollo y Talento;Efectividad de Capacitación (Training Effectiveness Score);"Mide el impacto real de los programas de formación sobre el desempeño de los empleados que los reciben, calculado como la variación porcentual entre el score de desempeño promedio del grupo capacitado en los tres meses posteriores a la capacitación frente a los tres meses anteriores. A diferencia del ROI de Capacitación (KPI 8), que requiere estimar beneficios monetarios, este indicador trabaja directamente con los datos de desempeño disponibles en el sistema. Una variación positiva superior al 5% indica un programa con impacto demostrable; una variación nula o negativa señala que el programa debe ser rediseñado o descontinuado.";Medir el impacto real de los programas de formación sobre el desempeño de los participantes calculando la variación del score de desempeño pre y post capacitación, con el fin de identificar qué programas generan mejora demostrable y cuáles deben rediseñarse o descontinuarse.;"((Score de desempeño promedio post-capacitación _ Score de desempeño promedio pre-capacitación) / Score de desempeño promedio pre-capacitación) _ 100

Donde:
• Score pre = Promedio de evaluaciones de desempeño del grupo capacitado en los 3 meses anteriores a la capacitación
• Score post = Promedio de evaluaciones de desempeño del mismo grupo en los 3 meses posteriores a la capacitación
• El resultado es un porcentaje de variación: positivo indica mejora, negativo indica deterioro o ausencia de impacto";"Empresa: Textiles Andinos S.A.S. | Periodo: Q1 2025 | Programa: Tecnicas de atencion al cliente para asesores de locales (120 asesores)

Datos:
  Score promedio de desempeno del grupo (3 meses antes del programa):   3.1 / 5
  Score promedio de desempeno del grupo (3 meses despues del programa): 3.7 / 5

Calculo:
  Variacion = ((3.7 - 3.1) / 3.1) x 100 = (0.6 / 3.1) x 100 = 19.4%";"¿Los programas de capacitación están generando una mejora real y medible en el desempeño de quienes los reciben?
__ Barras horizontales por programa ordenadas por variación de desempeño pre vs. post — Línea de referencia en cero: barras a la derecha = impacto positivo, barras que no la alcanzan = sin evidencia de mejora. Formato condicional verde para variación >5% y rojo para variación neutra o negativa.";10.0
34;Gestión de la Rotación y Retención;Índice de Riesgo de Fuga (Flight Risk Index);Score predictivo individual que combina mediante un modelo ponderado cuatro señales de alerta de rotación voluntaria: nivel de ausentismo normalizado (peso orientativo 25–30%), frecuencia de horas extra normalizada (20–25%), antigüedad inversa normalizada (mayor riesgo a menor antigüedad, peso 20–25%) y score de desempeño inverso normalizado (menor desempeño = mayor riesgo, peso 15–20%). El resultado es un score de 0 a 100 por empleado, donde valores superiores a 70 indican riesgo alto y requieren intervención prioritaria. Permite a los líderes de RRHH actuar antes de que se produzca la renuncia, convirtiendo un evento reactivo en una gestión proactiva de la retención.;Identificar a los empleados con mayor probabilidad de renuncia voluntaria en los próximos 90 días mediante un score predictivo ponderado, con el fin de priorizar intervenciones de retención antes de que se produzca la baja, reducir el costo estimado de rotación (KPI 35), proteger la continuidad operativa de las áreas críticas y convertir la gestión de la retención de un proceso reactivo a uno preventivo y basado en datos.;Modelo ponderado: (w1 _ Ausentismo_norm) + (w2 _ Horas_extra_norm) + (w3 _ Antigüedad_inversa) + (w4 _ Score_desempeño_inverso) _ score 0–100;"Empresa: Textiles Andinos S.A.S. | Empleada: Maria Lopez | Operaria confeccion Bogota | Antiguedad: 1.8 anos
Variables normalizadas (escala 0-1):
  Ausentismo_norm:              0.78 (5 episodios en el trimestre — Bradford 150 del KPI 23)
  Horas_extra_norm:             0.60 (turno con 20% de OT del KPI 16)
  Antiguedad_inversa_norm:      0.82 (1.8 anos — rango de maximo riesgo)
  Score_desempeno_inverso_norm: 0.40 (desempeno 3.2/5 — aceptable, riesgo bajo)

Pesos orientativos: w1=0.30 | w2=0.20 | w3=0.25 | w4=0.25

Calculo:
  Score = (0.78x0.30) + (0.60x0.20) + (0.82x0.25) + (0.40x0.25)
        = 0.234 + 0.120 + 0.205 + 0.100
        = 0.659 x 100 = 65.9 / 100";"¿Qué empleados tienen mayor probabilidad de renunciar en los próximos 90 días y a quiénes debemos intervenir primero?
__ Tabla de priorización con top 15 empleados por Flight Risk Score descendente + semáforos por variable — Columnas: empleado, score total, ausentismo, horas extra, antigüedad, desempeño. ";10.0
2;Clima Laboral y Bienestar;Tasa de Incidentes de Salud Ocupacional (Workplace Incident Rate);Cuantifica la frecuencia con la que ocurren accidentes de trabajo, enfermedades laborales e incidentes de seguridad en relación con las horas efectivamente trabajadas. Utiliza el estándar de la OSHA (200.000 horas-hombre como base de normalización) y su equivalente colombiano administrado por las ARL, lo que permite comparaciones entre empresas de distinto tamaño y entre periodos. Un valor elevado o en ascenso indica exposición a riesgos físicos, ergonómicos o psicosociales no controlados, y puede derivar en sanciones normativas, incremento de primas de riesgos laborales y pérdida de productividad por ausentismo médico.;Controlar la frecuencia de accidentes de trabajo y enfermedades laborales en relación con las horas efectivamente trabajadas, con el fin de reducir el ausentismo médico, mitigar el riesgo de sanciones regulatorias por parte de la ARL y el Ministerio del Trabajo, y proteger la capacidad productiva de la empresa minimizando los costos directos e indirectos derivados de los incidentes.;(Accidentes / HHT reales) _ 200.000;"Empresa: Textiles Andinos S.A.S. | Periodo: marzo 2025 | Alcance: fabricas Bogota y Medellin
Datos del mes:
  Accidentes de trabajo calificados (fabrica Bogota):    6
  Accidentes de trabajo calificados (fabrica Medellin):  3
  Total accidentes:                                                              9
  HHT reales del mes — Bogota (1.800 emp x 23 dias hab x 8h - ausencias): 325.800 h
  HHT reales del mes — Medellin (800 emp x 23 dias hab x 8h - ausencias): 144.800 h
  HHT total:                                             470.600 h

Calculo:
  Tasa OSHA = (9 / 470.600) x 200.000 = 3.83
RESULTADO: 3.83 incidentes por cada 200.000 horas trabajadas
Interpretacion: Cercano al benchmark FASECOLDA 2026 (3.9 por 100 trabajadores).";"¿Qué áreas y en qué meses concentran la mayor frecuencia de incidentes de salud ocupacional?
__ Mapa de calor (área _ mes) — Intensidad de color = tasa OSHA. Es la única visualización que revela simultáneamente el quién y el cuándo sin necesidad de filtros. Añadir línea de referencia con el límite legal ARL.";9.5
7;Desarrollo y Talento;Puntuación Promedio de Desempeño (Performance Score);Centraliza los resultados de los ciclos de evaluación de desempeño en un score promedio que permite comparar el rendimiento entre individuos, equipos y periodos. Su mayor valor analítico no está en el promedio en sí, sino en la distribución: una curva concentrada artificialmente en la media alta indica falta de calibración entre evaluadores, mientras que una distribución con dispersión real permite identificar High Performers, empleados en desarrollo y casos que requieren planes de mejora. Es el insumo base para la matriz 9-Box, el Flight Risk Index, el Burnout Risk Score y las decisiones de compensación variable.;Centralizar los resultados de los ciclos de evaluación para identificar la distribución real del talento organizacional, detectar falta de calibración entre evaluadores, y alimentar decisiones diferenciadas de compensación variable, planes de desarrollo individual, posicionamiento en la matriz 9-Box y activación del modelo de Flight Risk, asegurando que el dato de desempeño sea accionable y no meramente descriptivo.;_ (Calificación_i _ Número de empleados con Calificación_i) / Total de empleados evaluados;"Empresa: Textiles Andinos S.A.S. | Periodo: ciclo semestral jun 2025 | Evaluados: 2.800 empleados | Escala: 1-5

Distribucion de calificaciones:
  Nota 1 (bajo):    112 empleados ->  4%
  Nota 2:           252 empleados ->  9%
  Nota 3 (medio):  1.092 empleados -> 39%
  Nota 4:           980 empleados -> 35%
  Nota 5 (alto):    364 empleados -> 13%

Calculo:
  Score = (112x1 + 252x2 + 1092x3 + 980x4 + 364x5) / 2.800
        = (112 + 504 + 3.276 + 3.920 + 1.820) / 2.800
        = 9.632 / 2.800 = 3.44 / 5

RESULTADO: 3.44 / 5 con desviacion estandar 0.93";"¿Cómo se distribuyen las calificaciones de desempeño? ¿Hay concentración anormal en la media o existe dispersión real de talento?
__ Barras agrupadas por rango de puntuación — Rangos calculados en DAX (ej. 1–2 / 2–3 / 3–4 / 4–5). Revela si la empresa tiene una curva de talento sana o si los líderes están inflando calificaciones con acumulación artificial en la media alta.";9.5
15;Eficiencia Operativa de RR.HH.;Tasa de Ausentismo (Absenteeism Rate);Expresa qué porcentaje de los días u horas laborables disponibles se pierden por ausencias no programadas (enfermedad, permisos no justificados, ausentismo injustificado). Es un indicador multicausal que puede reflejar problemas de clima laboral, sobrecarga de trabajo, liderazgo deficiente, condiciones ergonómicas inadecuadas o problemas de salud sistémicos en la plantilla. Al monitorearse mensualmente y segmentarse por área, permite detectar focos de alerta antes de que se conviertan en riesgos de rotación o incapacidades prolongadas. El costo financiero del ausentismo se cuantifica en el KPI 17.;Expresar como porcentaje la proporción de días u horas laborables que se pierden por ausencias no programadas, con el fin de detectar focos de alerta por área antes de que se traduzcan en rotación o incapacidades prolongadas, cuantificar el impacto operativo real del ausentismo y fundamentar la inversión en programas preventivos de salud ocupacional, clima laboral y liderazgo.;"Tasa de Ausentismo días = (Días de ausencia en el periodo / Días laborables disponibles en el periodo) _ 100
Tasa de Ausentismo horas = (Horas de ausencia en el periodo / Horas laborables disponibles en el periodo) _ 100";"Datos:
  Empleados activos:                                    3.000
  Dias laborables disponibles (3.000 x 23):            69.000 dias
  Dias de ausencia registrados:
    Fabrica Bogota  (1.800 emp): 1.260 dias -> tasa 3.0%
    Fabrica Medellin (800 emp):   640 dias -> tasa 3.5%
    Locales y oficinas (400 emp): 200 dias -> tasa 2.2%
  Total dias de ausencia:                               2.100 dias

Calculo global:
  Tasa = (2.100 / 69.000) x 100 = 3.04%";"¿Cuántos días productivos perdemos por ausentismo cada mes y la tasa está subiendo o bajando?
__ Gráfico combinado (barras + línea) — Barras = días absolutos de ausencia por mes (volumen). Línea superpuesta = tasa porcentual (tendencia relativa). Las dos series juntas responden el cuánto y el si está escalando sin necesitar dos gráficos separados.";9.5
16;Eficiencia Operativa de RR.HH.;Frecuencia de Horas Extras (Overtime Rate);Mide qué proporción representan las horas extra trabajadas sobre las horas regulares en un periodo determinado. Más allá del impacto directo en el costo de nómina, las horas extra recurrentes en las mismas áreas o turnos son un predictor temprano de fatiga, burnout y rotación voluntaria. Cuando la tasa supera el 10% de forma sostenida, indica que la dotación del área es insuficiente para la carga operativa real, lo que requiere revisar el dimensionamiento de turnos o la eficiencia de los procesos antes de continuar absorbiendo el costo vía recargos.;Medir la proporción de horas extra sobre las horas regulares para identificar áreas con sobrecarga operativa estructural que supera la capacidad de dotación planificada, anticipar riesgos de fatiga y burnout en la plantilla, controlar el impacto de los recargos en el costo de nómina y fundamentar decisiones de redimensionamiento de turnos o revisión de la eficiencia de los procesos productivos.;(Total de horas extras trabajadas / Total de horas regulares trabajadas) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: noviembre 2025 (temporada alta — aguinaldos) | Alcance: fabricas

Datos:
  Horas regulares trabajadas en el mes (fabricas):  460.800 h
  Horas extra trabajadas en el mes (fabricas):       92.160 h

Calculo:
  Tasa = (92.160 / 460.800) x 100 = 20%

RESULTADO: 20% — zona critica";"¿Qué áreas o turnos están operando sistemáticamente con horas extra y la sobrecarga es nueva o lleva meses instalada?
__ Tarjeta KPI del periodo actual + gráfico de línea de tendencia (12 meses) — La tarjeta muestra el estado puntual con alerta visual (>10%). La línea responde si es un pico puntual o una tendencia crónica. Son dos preguntas distintas que requieren dos elementos visuales.";9.5
51;Nómina y Compensación;Índice de Equidad Interna Salarial (Compa-Ratio);"Compara el salario real de cada empleado con el punto medio de la banda salarial definida para su nivel o cargo, expresado como un ratio adimensional. Un compa-ratio de 1,0 significa que el empleado está exactamente en el punto medio de su banda. Valores inferiores a 0,85 indican posible subcompensación con riesgo de rotación; valores superiores a 1,15 pueden señalar salarios desactualizados respecto a la banda o beneficios compensatorios que elevan el total por encima del mercado. Es el indicador base para los procesos de revisión salarial y para identificar casos de inequidad interna antes de que se conviertan en un problema de retención o de brecha de género.";Comparar el salario real de cada empleado con el punto medio de la banda salarial de su nivel para identificar casos de subcompensación con riesgo de rotación o de salarios por encima del rango que señalen bandas desactualizadas, con el fin de fundamentar los procesos de revisión salarial con evidencia objetiva, detectar inequidades internas antes de que se conviertan en un problema de retención o de brecha de género, y asegurar la coherencia de la política de compensación en toda la organización.;Salario real del empleado / Punto medio de la banda salarial de su nivel;"Empresa: Textiles Andinos S.A.S. | Periodo: cierre 2025 | Nivel: lider de linea de produccion
Banda salarial aprobada:
  Minimo: COP 2.500.000 | Punto medio: COP 3.250.000 | Maximo: COP 4.000.000
Datos de 3 lideres representativos:
  Lider A — Bogota, 8 anos:   Salario COP 3.900.000 | Compa-Ratio = 3.900.000/3.250.000 = 1.20
  Lider B — Bogota, 2 anos:   Salario COP 2.600.000 | Compa-Ratio = 2.600.000/3.250.000 = 0.80
  Lider C — Medellin, 5 anos: Salario COP 3.200.000 | Compa-Ratio = 3.200.000/3.250.000 = 0.98";"¿Los salarios de cada empleado están dentro de la banda salarial de su nivel o hay casos por debajo o por encima del rango?
__ Gráfico de dispersión (scatter plot): eje X = nivel/banda salarial, eje Y = compa-ratio del empleado — Un punto por empleado. Líneas de referencia horizontales en 0.85 y 1.15 delimitan la zona de equidad. Los puntos fuera de esas líneas son casos de intervención inmediata.";9.5
60;Plazas y Gestión de Vacantes;Costo por Plaza Vacante (Cost of Vacancy);Monetiza el impacto económico de mantener una posición sin cubrir, calculando el costo diario de la vacante como el producto del salario mensual de la posición por un factor de productividad perdida que varía según el nivel del cargo (0,5x–2x del salario mensual) y multiplicándolo por los días transcurridos sin cobertura. Este indicador transforma la urgencia de cobertura de un criterio subjetivo a uno financiero, permitiendo priorizar objetivamente qué vacantes abrir primero cuando los recursos de reclutamiento son limitados. Las posiciones de mayor impacto financiero diario acumulado son las de intervención urgente.;Monetizar el impacto económico diario de cada plaza sin cubrir, con el fin de transformar la urgencia de cobertura de un criterio subjetivo a uno financiero, priorizar objetivamente qué vacantes abrir y cubrir primero cuando los recursos de reclutamiento son limitados, y proporcionar a la dirección un argumento cuantificado para acelerar la aprobación de los procesos de selección críticos.;Salario mensual de la posición _ Factor de productividad perdida (usualmente 0.5–2x) _ Meses sin cubrir;"Empresa: Textiles Andinos S.A.S. | Vacante: Jefe de Calidad Fabrica Bogota | Lleva abierta: 4 meses
Datos:
  Salario mensual de la posicion:   COP 4.500.000
  Factor productividad perdida:     1.3x (perfil profesional, rol critico en fabrica)
  Meses sin cubrir:                 4
Calculo:
  Costo = 4.500.000 x 1.3 x 4 = COP 23.400.000";"¿Cuánto nos cuesta cada día que una plaza crítica permanece vacante y cuáles posiciones debemos priorizar cubrir primero?
__ Barras horizontales por vacante, ordenadas de mayor a menor costo acumulado — La longitud de la barra = costo total acumulado desde la apertura de la vacante. Las más largas son urgencia máxima. Formato condicional de color rojo en vacantes que superen el umbral crítico.";9.5
61;Plazas y Gestión de Vacantes;Tasa de Aceptación de Oferta (Offer Acceptance Rate);"Mide qué porcentaje de los candidatos que reciben una oferta laboral formal la acepta y formaliza su incorporación. El benchmark de industria se sitúa alrededor del 84% (Gem Benchmarks 2024); valores inferiores al 75% son señales de alerta que indican pérdida de competitividad salarial, deterioro del employer branding, problemas en la experiencia del candidato durante el proceso o una brecha entre las expectativas generadas y las condiciones reales de la oferta. Este KPI es especialmente sensible en mercados de talento escaso, donde los candidatos seleccionados reciben múltiples ofertas simultáneas.";Medir qué porcentaje de los candidatos que reciben una oferta formal la aceptan, con el fin de monitorear la competitividad salarial de la empresa en el mercado laboral, identificar brechas entre las expectativas generadas durante el proceso de selección y las condiciones reales de la oferta, y orientar ajustes en la propuesta de valor al candidato antes de que la caída de aceptaciones afecte los tiempos y costos del proceso de adquisición de talento.;(Ofertas aceptadas / Total de ofertas extendidas) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: Q3 2025 | 80 ofertas laborales extendidas
Datos:
  Ofertas extendidas:    80
  Ofertas aceptadas:     60
  Ofertas rechazadas:    20
Calculo:
  Tasa = (60 / 80) x 100 = 75%";"¿Qué porcentaje de candidatos acepta la oferta cuando se la extendemos y la tasa está cayendo?
__ Gráfico de línea trimestral con anotaciones de cambios en tooltip — Un descenso sostenido es señal de pérdida de competitividad salarial o deterioro del employer branding. Las anotaciones de hitos permiten correlacionar causa y efecto al pasar el cursor sobre cada punto.";9.5
62;Plazas y Gestión de Vacantes;Calidad de Contratación (Quality of Hire);Evalúa si las incorporaciones recientes están cumpliendo las expectativas de desempeño y generando retorno sobre la inversión en reclutamiento. Se calcula como el promedio de tres dimensiones para cada cohorte de contratación: score de desempeño en el primer año, tasa de retención al año uno y evaluación del manager sobre la idoneidad de la contratación. Es el indicador que cierra el ciclo del proceso de selección: permite determinar si el perfil buscado, los criterios de selección y los canales de reclutamiento utilizados están produciendo el tipo de talento que la organización necesita, o si hay que recalibrar el proceso.;Evaluar si las incorporaciones recientes están cumpliendo las expectativas de desempeño y generando retorno sobre la inversión en reclutamiento, con el fin de determinar si los criterios de selección, los canales de reclutamiento y los perfiles buscados están produciendo el talento que la organización necesita, o si es necesario recalibrar el proceso de selección.;Promedio de: (Puntuación de desempeño en 1er año + Tasa de retención a 1 año + Evaluación del manager sobre la contratación) / 3;"Empresa: Textiles Andinos S.A.S. | Cohorte Q1 2025 | 120 nuevas contrataciones de operarios | Evaluados a los 12 meses
Datos (promedio de las 3 dimensiones):
  Desempeno en 1er ano (escala 0-100):  68
    Tasa de retencion al ano (%):                82
    Evaluacion del supervisor (0-100):       72
Calculo:
  Quality of Hire = (68 + 82 + 72) / 3 = 222 / 3 = 74 / 100";"¿Los empleados contratados recientemente están cumpliendo las expectativas de desempeño en su primer año?
__ Barras por cohorte trimestral de contratación — Una barra por trimestre con el score promedio de calidad. Permite detectar si la calidad mejora con el tiempo (el proceso de selección está madurando) o si hay regresión reciente que indica un cambio en el perfil buscado o en los evaluadores.";9.5
53;Nómina y Compensación;Masa Salarial Promedio por Empleado (Average Labor Cost per FTE);Calcula el costo laboral total promedio por cada FTE activo, incluyendo salario base, beneficios, carga prestacional (vacaciones, prima, cesantías, intereses de cesantías) y aportes parafiscales. Al expresar el costo en términos de FTE en lugar de headcount, la métrica es comparable entre áreas con distintas proporciones de tiempo parcial. Permite identificar qué departamentos tienen un costo laboral por unidad productiva significativamente mayor o menor que el promedio de la empresa, lo que facilita conversaciones de eficiencia operativa con las áreas de negocio y con la dirección financiera en los procesos de presupuestación anual.;Calcular el costo laboral total promedio por FTE activo (incluyendo salario base, beneficios y cargas), para comparar la eficiencia del gasto entre empleados de la misma plantilla, identificar departamentos con un costo laboral por unidad productiva significativamente desalineado del promedio organizacional, y proporcionar a la dirección financiera una base objetiva para los procesos de presupuestación anual y control de costos de nómina.;Costo total de nómina (salarios + beneficios + cargas) / FTE promedio del periodo;"Empresa: Textiles Andinos S.A.S. | Periodo: Q1 2025
Datos:
  Costo total de nomina Q1 (salarios + prestaciones + seguridad social): COP 18.900.000.000
  FTE promedio del trimestre: 2.850 FTE (KPI 32: 2.700 tiempo completo + 150 equivalentes parciales)

Calculo:
  Costo por FTE = 18.900.000.000 / 2.850 = COP 6.631.579 / FTE / trimestre
";"¿Cuánto cuesta en promedio cada empleado por área incluyendo salario, beneficios y cargas sociales?
__ Barras horizontales por departamento, ordenadas de mayor a menor costo por FTE — Comparativa directa entre áreas. Permite identificar dónde el costo laboral no se justifica con los resultados del área y dónde hay eficiencia que puede replicarse.";9.2
58;Nómina y Compensación;Costo Total de Nómina sobre Ingresos (Labor Cost Ratio);Expresa qué porcentaje de los ingresos operacionales de la empresa se destina al costo total de nómina (salarios, beneficios y cargas). Es el indicador de sostenibilidad financiera del modelo de gestión de personas: un ratio creciente trimestre a trimestre indica que los costos laborales están creciendo más rápido que los ingresos, lo que deteriora el margen operativo. Los benchmarks sectoriales varían ampliamente: servicios profesionales y consultoría (25–40%), manufactura (15–25%), retail (10–20%). Para empresas de software como los clientes de Midasoft, el rango saludable suele ubicarse entre el 20% y el 35%.;Expresar qué porcentaje de los ingresos operacionales se destina al costo total de nómina para monitorear la sostenibilidad financiera del modelo de gestión de personas, detectar tendencias crecientes que anticipen deterioro del margen operativo antes de que aparezcan en los estados financieros.;(Costo total de nómina del periodo / Ingresos o presupuesto total del periodo) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: Q2 2025
Datos:
  Costo total de nomina del trimestre (3.000 emp): COP 4.725.000.000
  Ingresos operacionales del trimestre (ventas textil): COP 21.000.000.000
Calculo:
  Ratio = (4.725.000.000 / 21.000.000.000) x 100 = 22.5%";"¿Qué porcentaje de los ingresos de la empresa se destina a la masa salarial y esa proporción es sostenible?
__ Gráfico de área con línea de alerta — Línea temporal del ratio con área sombreada debajo. Línea horizontal de alerta en el umbral definido (ej. >35%). Cuando el área sube por encima de la banda, hay señal de insostenibilidad financiera del modelo de RRHH.";9.0
71;Horarios y Control de Asistencia;Frecuencia de Incapacidades (Disability Frequency Rate);Mide cuántas incapacidades médicas se generan por cada empleado activo en el periodo, distinguiendo entre incapacidades por enfermedad general (EPS), accidente de trabajo y enfermedad laboral (ARL). Este indicador complementa la Tasa de Ausentismo (KPI 15) al desagregar el ausentismo certificado médicamente del resto de ausencias, permitiendo orientar la intervención hacia el agente correcto: condiciones ergonómicas o de seguridad (ARL), factores de carga física o mental (médico ocupacional) o clima y liderazgo (RRHH). Un área con más de 0,3 incapacidades por empleado por trimestre en sector servicios merece revisión con el COPASST.;Medir cuántas incapacidades médicas se generan por empleado activo distinguiendo entre enfermedad general (EPS), accidente de trabajo y enfermedad laboral (ARL), con el fin de desagregar el ausentismo certificado del resto de ausencias, detectar áreas con frecuencia superior al doble del promedio organizacional que requieran revisión con el COPASST y el sistema de gestión de SST.;(Número total de incapacidades generadas en el periodo / Headcount promedio del periodo);"Empresa: Textiles Andinos S.A.S. | Periodo: Q1 2025 | Headcount promedio: 3.000 empleados
Incapacidades generadas en el trimestre:
  Enfermedad general (EPS):      324 incapacidades (81%)
  Accidente de trabajo (ARL):     54 incapacidades (13.5%)
  Enfermedad laboral (ARL):       22 incapacidades (5.5%)
  Total:                         400 incapacidades

Calculo:
  Tasa = 400 / 3.000 = 0.133 incapacidades por empleado por trimestre";"¿En qué áreas se concentran las incapacidades y el patrón responde a eventos puntuales o a una tendencia crónica que requiere intervención?
__ Mapa de calor (área _ mes) con tabla de desglose por tipo de diagnóstico .
El mapa de calor revela el patrón estructural: un área con color consistentemente intenso en varios meses consecutivos tiene un problema sistémico, no puntual. La tabla complementaria desglosa por tipo de incapacidad (enfermedad general, accidente de trabajo, enfermedad laboral) para orientar si la intervención corresponde a la ARL, al médico ocupacional o al líder directo. Línea de referencia en el promedio histórico de la empresa para contextualizar los picos.";9.0
