Indice;Categoria;Nombre del KPI;Descripcion Funcional;Objetivo de negocio;Formula tecnica;Ejemplo de aplicacion del KPI;Grafico recomendado;Puntaje Relevancia
70;Horarios y Control de Asistencia;Indice de Horas Extras ;Mide qué porcentaje del costo total de nómina del periodo corresponde a los conceptos de recargo sobre hora ordinaria liquidados según el Código Sustantivo del Trabajo: hora extra diurna (25%), nocturna (75%), dominical ordinaria (75%) y extra dominical (100%). Un índice superior al 5% en un área durante dos meses consecutivos señala una dependencia estructural de horas extra para sostener la operación, que indica que la dotación del turno está subdimensionada respecto a la carga real de trabajo. Su lectura conjunta con la Frecuencia de Horas Extra (KPI 16) permite distinguir si el problema es de volumen de horas o de concentración en pocos empleados.;Medir qué porcentaje del costo total de nómina corresponde a los recargos por horas extra liquidados conforme al Código Sustantivo del Trabajo, con el fin de identificar áreas con dependencia estructural de horas extra para sostener la operación, cuantificar el impacto financiero de la sobrecarga en términos de COP para la dirección financiera.;Valor Horas Extras/Costo Total de la nomina ;"Empresa: Textiles Andinos S.A.S. | Periodo: noviembre 2025 | Nomina total del mes: COP 1.889.100.000
Recargos liquidados en el mes (fabricas):
  Horas extra diurnas (25% sobre valor hora ordinaria):          COP 72.000.000
  Horas extra nocturnas (75%):                                  COP 108.000.000
  Recargo dominical ordinario (75%):                             COP 54.000.000
  Horas extra en dominical/festivo (100%):                       COP 28.000.000
  Total valor horas extras y recargos:                          COP 262.000.000

Calculo:
  Indice = (262.000.000 / 1.889.100.000) x 100 = 13.9%";"¿Qué parte del presupuesto de nómina se está consumiendo en horas extra y en qué áreas ese peso financiero es estructural y no puntual?
__Gráfico combinado (barras apiladas + línea de tendencia) con doble eje — Eje izquierdo: barras apiladas por área mostrando el costo absoluto de horas extra en COP, segmentadas por tipo de recargo (diurna / nocturna / dominical-festiva). Eje derecho: línea con el índice porcentual sobre nómina total del periodo. La combinación permite ver simultáneamente dónde está el problema en dinero real y si la proporción sobre nómina está subiendo o bajando. Una barra alta con línea descendente indica que el costo es grande pero se está controlando; una barra moderada con línea ascendente es la señal de alerta real: el problema está creciendo aunque aún no sea visible en términos absolutos.";9.0
20;Eficiencia Operativa de RR.HH.;Tiempo de Cobertura de Vacante (Time to Fill);"Mide los días calendario transcurridos desde la apertura formal de una vacante hasta la incorporación efectiva del candidato seleccionado, incluyendo todas las etapas del proceso: publicación, atracción, selección, oferta y onboarding inicial. Es el principal indicador de la agilidad del proceso de adquisición de talento. El benchmark SHRM establece 44 días como referencia global; los roles especializados o directivos pueden superar los 90 días sin que sea necesariamente un problema, mientras que roles operativos con tiempos superiores a 30 días señalan cuellos de botella en el embudo de reclutamiento.";Medir la agilidad del proceso de adquisición de talento cuantificando los días transcurridos desde la apertura de una vacante hasta la incorporación efectiva del candidato, con el fin de identificar cuellos de botella en el embudo de reclutamiento por tipo de cargo, comparar el desempeño del área frente al benchmark sectorial de 44 días (SHRM) y optimizar los recursos y los canales del proceso de selección.;Promedio de días desde apertura de la vacante hasta la fecha de incorporación del empleado seleccionado;"Empresa: Textiles Andinos S.A.S. | Periodo: Q3 2025 | Muestra: 10 vacantes cerradas

Datos (dias desde apertura hasta incorporacion):
  Operario de confeccion Bogota:          22 dias
  Operario de confeccion Bogota:          18 dias
  Operario de confeccion Medellin:        25 dias
  Lider de linea Bogota:                  45 dias
  Lider de linea Medellin:                52 dias
  Asesor comercial local Bogota:          31 dias
  Asesor comercial local Cali:            28 dias
  Jefe de calidad Bogota:                 67 dias
  Coordinador de logistica:               58 dias
  Gerente de zona comercial:              83 dias

Calculo:
  Time to Fill promedio = (22+18+25+45+52+31+28+67+58+83) / 10 = 429 / 10 = 42.9 dias";"¿Cuántos días tardamos en cubrir vacantes por área y cuáles superan el benchmark de 44 días?
__ Barras horizontales por vacante o área, ordenadas de mayor a menor tiempo — El largo de la barra es el tiempo en días. Línea de referencia vertical en 44 días (benchmark SHRM). Las barras que cruzan la línea están en zona de alerta y se resaltan en rojo.";9.0
44;Horarios y Control de Asistencia;Porcentaje de Cobertura de Turnos (Shift Coverage Rate);Evalúa si cada turno programado cuenta con la dotación mínima de empleados requerida para operar con normalidad. Cuando la cobertura cae por debajo del 100%, los empleados presentes deben absorber la carga de los ausentes, lo que alimenta directamente los indicadores de horas extra y burnout. Es un KPI crítico en sectores de atención continua como salud, manufactura o retail, donde la subbcobertura de un turno tiene consecuencias operativas y, en algunos casos, regulatorias (protocolos de seguridad mínima). Su monitoreo semanal permite a los supervisores anticipar y gestionar las ausencias antes de que impacten la operación.;Evaluar si cada turno programado cuenta con la dotación mínima necesaria para operar con normalidad, con el fin de prevenir la sobrecarga del personal presente, anticipar riesgos operativos y regulatorios en sectores con protocolos de seguridad mínima, y proporcionar a los supervisores la señal de alerta anticipada que les permita gestionar las ausencias antes de que impacten la cobertura y los resultados del turno.;(Turnos cubiertos con dotación mínima / Total de turnos programados) _ 100;"Datos:
  Total de turnos programados en la semana (5 dias x 3 turnos): 15
  Dotacion minima por turno: 180 operarios
  Turnos con dotacion completa:  11 turnos
  Turnos con deficit de personal: 4 turnos
Calculo:
  Tasa = (11 / 15) x 100 = 73.3%";"¿Todos los turnos tienen la dotación mínima requerida o hay déficit de cobertura operativa?
__ Barras por turno (M/T/N) con línea de referencia en 100% de dotación mínima — Las barras que no alcanzan la línea están en déficit. Inmediato para el supervisor de operaciones sin necesidad de interpretación. Formato condicional de color rojo en las barras bajo el mínimo.";9.0
35;Gestión de la Rotación y Retención;Costo Estimado de Rotación (Turnover Cost);Monetiza el impacto real de cada baja en la organización sumando los costos de reclutamiento del reemplazo, el tiempo de onboarding y la pérdida de productividad durante el periodo de vacante y de rampa del nuevo empleado. El factor de productividad perdida varía según el nivel del cargo: 50–75% del salario anual para perfiles operativos, 100–150% para profesionales y mandos medios, y hasta 200% para directivos y especialistas clave. Al multiplicar este costo unitario por el número de bajas del periodo, la organización puede cuantificar el retorno de inversión potencial de programas de retención, desarrollo y clima laboral.;Monetizar el impacto real de cada baja voluntaria o involuntaria sumando los costos de reclutamiento, onboarding y productividad perdida, con el fin de proporcionar a la dirección financiera los argumentos cuantitativos que justifiquen la inversión en programas de retención, desarrollo y clima, y de identificar qué áreas generan el mayor impacto financiero por rotación para priorizar la intervención.;Total de bajas en el periodo _ (Costo de reemplazo por empleado: reclutamiento + onboarding + productividad perdida);" Empresa: Textiles Andinos S.A.S. | Periodo: Q3 2025 | 24 bajas en el trimestre
Lideres de linea y supervisores (24 bajas):
    Salario anual promedio: COP 36.000.000
    Factor: 100% (profesional)
    Costo unitario: COP 36.000.000
    Costo total supervisores: 24 x 36.000.000 = COP 864.000.000";"¿Cuánto nos está costando la rotación en cada departamento y qué áreas generan el mayor impacto financiero?
__ Barras horizontales por departamento, ordenadas de mayor a menor costo — Transforma el costo abstracto en comparativa concreta por área. Añadir etiqueta con el número de bajas dentro de cada barra para distinguir si el costo viene del volumen de salidas o del costo unitario por perfil.";9.0
1;Clima Laboral y Bienestar;Índice de Compromiso del Empleado (Employee Engagement Index);Mide el grado de vinculación emocional, cognitiva y conductual de los empleados con su organización, su equipo y su rol. Se obtiene a través de encuestas periódicas que evalúan cuatro dimensiones clave: orgullo de pertenencia, disposición a recomendar la empresa como lugar de trabajo, esfuerzo discrecional (hacer más de lo mínimo requerido) e intención de permanencia futura. El resultado se expresa como un score promedio en escala Likert (1–5 o 1–10) que permite segmentar la plantilla en empleados comprometidos, no comprometidos y activamente desconectados. Es el indicador base del módulo de clima organizacional y actúa como señal anticipada de riesgos de rotación y productividad.;Identificar el nivel de vinculación emocional y conductual de la plantilla con el propósito organizacional, de modo que la dirección de RRHH pueda anticipar riesgos de rotación, diseñar intervenciones de cultura diferenciadas por área y demostrar a la alta dirección la relación entre el compromiso del empleado y los resultados operativos del negocio.;(Suma puntajes / Total respuestas);"Empresa: Textiles Andinos S.A.S. | Periodo: Q1 2025 | Alcance: 3.000 empleados

Encuesta trimestral con 4 preguntas Likert escala 1-5. Respondieron 2.430 empleados (tasa de participacion: 81%).

Resultados promedio por pregunta:
  P1 — Orgullo de pertenecer a Textiles Andinos:       3.6
  P2 — Recomendaria la empresa como lugar de trabajo:  3.3
  P3 — Hago mas de lo minimo requerido en mi rol:      4.0
  P4 — Planeo seguir en la empresa el proximo ano:     3.1

Calculo:
  Score = (3.6 + 3.3 + 4.0 + 3.1) / 4 = 14.0 / 4 = 3.50 / 5

";"¿En qué dimensiones del engagement hay mayor desconexión y qué porcentaje de empleados se ubica en cada nivel de respuesta?
__ Barras apiladas 100% (divergentes desde el centro) — Una barra por pregunta del cuestionario, segmentada por nivel Likert (muy en desacuerdo _ muy de acuerdo). El formato divergente centra la visión en los extremos y hace inmediatamente visible dónde está la polarización.";9.0
57;Nómina y Compensación;Incremento Salarial Promedio (Average Salary Increase %);Mide el porcentaje de variación del salario base promedio entre el ciclo de ajuste actual y el anterior, desagregado por área, nivel jerárquico y sexo. Su principal referencia de contexto en Colombia es el índice de inflación del año y el incremento del Salario Mínimo Legal Mensual Vigente (SMMLV): un incremento promedio inferior al IPC implica pérdida de poder adquisitivo del empleado, lo que es un factor de riesgo de rotación voluntaria especialmente para perfiles de mercado. Para perfiles críticos, la meta de retención generalmente se sitúa entre IPC + 2% e IPC + 5% según los estudios salariales de ACRIP.;Medir el porcentaje de variación del salario base promedio entre ciclos de ajuste, desagregado por área, nivel y sexo, con el fin de verificar que los incrementos aplicados superan la inflación del periodo (preservando el poder adquisitivo del empleado), comparar la política salarial interna con el Salario Mínimo Legal Mensual Vigente y los estudios de mercado de ACRIP, y detectar inequidades en la distribución de los ajustes que puedan generar riesgo de rotación diferencial.;((Salario promedio actual _ Salario promedio del periodo anterior) / Salario promedio del periodo anterior) _ 100;"Empresa: Textiles Andinos S.A.S. | Ciclo de ajuste: enero 2025
Datos por grupo:
  Operarios de fabrica (2.600 emp):
    Salario promedio dic 2024: COP 1.309.000 (SML 2024)
    Salario promedio ene 2025: COP 1.423.500 (SML 2025)
    Incremento: ((1.423.500-1.309.000)/1.309.000) x 100 = 8.75%
  Lideres y supervisores (200 emp):
    Salario promedio dic 2024: COP 3.000.000
    Salario promedio ene 2025: COP 3.270.000
    Incremento: ((3.270.000-3.000.000)/3.000.000) x 100 = 9.0%

  Referencia: SML 2025 aumento 9.54% | Inflacion Colombia 2024: 5.20%";"¿Cuánto subieron los salarios por área en el último ciclo y el incremento superó la inflación del periodo?
__ Barras agrupadas por área + línea de referencia de inflación — Una barra por área con el % de incremento aplicado. La línea de inflación hace visible de inmediato qué áreas tuvieron incremento real positivo y cuáles perdieron poder adquisitivo sin que el usuario tenga que hacer el cálculo.";8.8
37;Gestión de la Rotación y Retención;Tasa de Ingresos (Hiring Rate);Mide qué proporción representa el total de nuevas contrataciones del periodo sobre el headcount promedio, expresando la velocidad a la que la organización incorpora talento. Su mayor valor analítico es la lectura comparada con la Tasa de Rotación General: cuando la tasa de ingresos es inferior a la de egresos, la empresa está perdiendo plantilla neta, lo que tiene implicaciones directas sobre la capacidad operativa y la carga de trabajo del equipo existente. Es también un indicador de la actividad del área de adquisición de talento y permite evaluar si la velocidad de contratación responde a los planes de crecimiento aprobados.;Medir la velocidad a la que la organización incorpora talento en relación con el headcount promedio, con el fin de comparar la tasa de nuevas contrataciones con la tasa de rotación, detectar periodos en que la empresa pierde plantilla neta, evaluar si la capacidad de adquisición de talento responde al plan de crecimiento aprobado, y dimensionar adecuadamente los recursos del área de reclutamiento;(Total de nuevas contrataciones en el periodo / Headcount promedio del periodo) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: mes de abril 2025
Datos:
  Nuevas contrataciones en abril:   87 empleados
  Headcount promedio de abril:   2.993 empleados
  Bajas en abril:                   72 empleados

Calculo:
  Tasa de ingresos  = (87 / 2.993) x 100 = 2.91%
";"¿La tasa de nuevas contrataciones está cubriendo la pérdida de talento o estamos perdiendo plantilla neta?
__ Gráfico de líneas con dos series (Tasa de Ingresos en verde, Tasa de Rotación en rojo) — La relación entre ambas líneas indica si la empresa crece, se estabiliza o pierde plantilla neta. Cuando la línea roja supera la verde hay alerta de pérdida neta que requiere acción inmediata.";8.5
73;Nómina y Compensación;Productividad por Costo Laboral (Revenue per Labor Cost);Relaciona los ingresos operacionales generados por cada unidad de negocio con el costo laboral total de esa misma unidad en el mismo periodo, expresado como un ratio. Un índice de 3,0 significa que por cada peso invertido en costo laboral se generan tres pesos de ingreso. Cuando el ratio cae trimestre a trimestre, señala que los costos laborales están creciendo más rápido que los ingresos, lo que anticipa un deterioro del margen operativo antes de que aparezca en los estados financieros. Un ratio inferior a 1,0 indica que el costo laboral supera los ingresos generados por la unidad, lo que representa una alerta financiera inmediata que requiere revisión de la estructura de costos o del modelo de negocio.;Relacionar los ingresos operacionales generados con el costo laboral total de cada unidad de negocio para evaluar el retorno sobre la inversión en personas, detectar unidades donde los costos laborales crecen más rápido que los ingresos anticipando deterioro del margen operativo, identificar unidades con ratio inferior a 1.0 como señal de alerta financiera inmediata, y proporcionar a la dirección general un indicador de eficiencia del capital humano comparable entre unidades y periodos.;Ingresos de la Unidad de Negocio en el periodo / Costo laboral total de la Unidad de Negocio en el mismo periodo;"Empresa: Textiles Andinos S.A.S. | Periodo: Q2 2025

Datos:
  Ingresos operacionales del trimestre (ventas de ropa y textiles): COP 21.000.000.000
  Costo laboral total del trimestre:                                COP 4.725.000.000

Calculo:
  Ratio = 21.000.000.000 / 4.725.000.000 = 4.44";"¿Qué unidades de negocio generan mayor retorno sobre su inversión en costo laboral y la relación está mejorando o deteriorándose?
__ Barras horizontales por unidad de negocio ordenadas de mayor a menor índice + línea de tendencia trimestral en panel secundario — Las barras comparan la productividad relativa entre unidades en el periodo actual: la longitud de la barra es el retorno por peso invertido en nómina. El panel secundario con línea trimestral responde si la unidad más productiva hoy lo era también hace seis meses o si hay un deterioro en curso. Línea de referencia vertical en el promedio de la empresa para identificar de un vistazo qué unidades están por encima y por debajo del centro. Formato condicional rojo en unidades con índice < 1.0 — significa que el costo laboral supera los ingresos generados, señal de alerta financiera inmediata.";8.5
67;Estructura y Demografía;Días de Vacaciones Pendientes por Empleado (Vacation Liability Index);"Cuantifica el pasivo laboral acumulado en días de vacaciones causadas y no disfrutadas por cada empleado activo, y lo convierte en un valor monetario total para la empresa. En Colombia, el Código Sustantivo del Trabajo (Art. 186 y 189) reconoce el derecho a 15 días hábiles de vacaciones anuales y permite acumular hasta dos periodos; acumulaciones superiores a 30 días por empleado o a dos periodos sin disfrutar generan un pasivo contable real y pueden derivar en sanciones del Ministerio del Trabajo. Este KPI permite a RRHH gestionar proactivamente el disfrute de vacaciones antes del cierre contable y reducir el riesgo de liquidación masiva.";Cuantificar el pasivo laboral acumulado en días de vacaciones causadas y no disfrutadas y convertirlo en valor monetario, con el fin de gestionar proactivamente el disfrute de vacaciones antes del cierre contable, reducir el riesgo de sanciones del Ministerio del Trabajo por acumulaciones excesivas (que bajo el CST colombiano no pueden superar dos periodos sin disfrutar),  y proporcionar a la dirección financiera la magnitud real del pasivo contingente de vacaciones en el balance.;"Días de vacaciones pendientes del empleado = (Días de vacaciones causadas acumuladas) _ (Días de vacaciones disfrutadas acumuladas)

Pasivo total empresa = _ (Días pendientes _ Salario diario del empleado)

Promedio por empleado = Pasivo total / Headcount activo del periodo";"Empresa: Textiles Andinos S.A.S. | Periodo: cierre septiembre 2025 | Headcount: 3.000 empleados
Datos:
  Dias de vacaciones causadas acumuladas (total empresa):    36.000 dias
  Dias de vacaciones disfrutadas acumuladas (total empresa): 27.000 dias
  Dias pendientes totales:                               9.000 dias
  Salario diario promedio:                               COP 55.000
  Pasivo total = 9.000 x 55.000 =                    COP 495.000.000
  Promedio por empleado = 9.000 / 3.000 =             3.0 dias pendientes";"¿Qué áreas acumulan más días de vacaciones pendientes y cuánto representa ese pasivo en pesos?
__ Barras horizontales por departamento, doble eje: eje izquierdo = días promedio pendientes por empleado (barras), eje derecho = pasivo total en COP del área (línea). Línea de referencia horizontal en el umbral de alerta definido por la empresa (ej. 15 días). Formato condicional rojo en áreas que superen el umbral. El doble eje conecta el dato operativo de RRHH con el impacto financiero que le importa a la dirección.";8.5
56;Nómina y Compensación;Puntualidad en el Pago de Nómina (Payroll On-Time Rate);Mide el porcentaje de ciclos de nómina que son pagados en la fecha comprometida con los empleados y dentro de los plazos establecidos por el Código Sustantivo del Trabajo (Art. 132). La meta es 100% en todos los escenarios: cualquier retraso en el pago de nómina constituye un incumplimiento contractual que erosiona la confianza del empleado de forma inmediata y puede generar sanciones del Ministerio del Trabajo. Su monitoreo mensual permite identificar si los retrasos son ocasionales y corregibles o si responden a problemas estructurales del proceso de cierre de nómina que requieren intervención tecnológica u organizacional.;Verificar qué porcentaje de los ciclos de nómina se pagan en las fechas comprometidas con los empleados y dentro de los plazos establecidos por el Código Sustantivo del Trabajo, con el fin de cumplir con la obligación legal, preservar la confianza del empleado en la empresa, prevenir sanciones del Ministerio del Trabajo, y detectar ciclos con retraso sistemático que requieran intervención tecnológica u organizacional en el proceso de cierre de nómina.;(Ciclos de nómina pagados a tiempo / Total de ciclos de nómina del periodo) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: semestre 1-2025 | 6 ciclos de nomina mensuales
Registro por ciclo:
  Ciclo enero:   Pagado 30 enero (compromiso 30 ene)  -> A TIEMPO
  Ciclo febrero: Pagado 28 febrero (compromiso 28 feb) -> A TIEMPO
  Ciclo marzo:   Pagado 03 abril (compromiso 31 mar)  -> RETRASO (3 dias)
  Ciclo abril:   Pagado 30 abril (compromiso 30 abr)  -> A TIEMPO
  Ciclo mayo:    Pagado 31 mayo (compromiso 31 may)   -> A TIEMPO
  Ciclo junio:   Pagado 30 junio (compromiso 30 jun)  -> A TIEMPO

Calculo:
  Tasa = (5 / 6) x 100 = 83.3%";"¿La nómina se paga siempre en la fecha comprometida o hay ciclos con retraso que afectan la confianza del empleado?
__ Tarjeta KPI con semáforo (meta: 100%) + tabla de ciclos con retraso — La tarjeta da el estado global de cumplimiento. La tabla lista los ciclos específicos que fallaron con fecha y causa, que es el dato que necesita el equipo de nómina para actuar sobre el problema concreto.";8.5
54;Nómina y Compensación;Salario Medio por Área (Average Salary by Department);Calcula el salario base promedio de los empleados activos en cada área o departamento, expresado en valor monetario (COP). Permite comparar el nivel retributivo entre áreas de la misma organización, identificar departamentos que se alejan significativamente del promedio empresarial y detectar posibles inequidades en la política salarial interna. Su lectura complementaria con el Compa-Ratio (KPI 51) permite distinguir si las diferencias entre áreas responden a diferencias reales en los niveles jerárquicos predominantes o a una aplicación inconsistente de las bandas salariales.;Calcular el salario base promedio por departamento para comparar el nivel retributivo entre áreas, detectar posibles inequidades en la política salarial interna y determinar si las diferencias entre departamentos responden a diferencias reales en los niveles jerárquicos o a una aplicación inconsistente de las bandas salariales, con el fin de mantener la coherencia de la política de compensación y sustentar las decisiones de ajuste salarial con datos objetivos.;Sumatoria de salarios del área / Total empleados del área;"Empresa: Textiles Andinos S.A.S. | Periodo: cierre 2025 | Salario mensual promedio
Datos por area:
  Fabrica Bogota  (1.800 emp): Suma salarios: COP 3.402.000.000 -> Promedio COP 1.890.000
  Fabrica Medellin (800 emp):  Suma salarios: COP 1.512.000.000 -> Promedio COP 1.890.000
  Locales comerciales (300 emp): Suma: COP 645.000.000 -> Promedio COP 2.150.000
  Oficinas centrales (100 emp):  Suma: COP 580.000.000 -> Promedio COP 5.800.000
  Promedio global empresa:     Suma total COP 6.139.000.000 / 3.000 = COP 2.046.333";"¿Qué áreas tienen el salario promedio más alto y cómo se comparan entre sí?
__ Barras horizontales por área ordenadas de mayor a menor salario promedio + línea de promedio global — Los nombres de área en el eje Y dan mejor legibilidad cuando hay más de 5 áreas. La línea de promedio global permite identificar de un vistazo qué departamentos están por encima o por debajo del centro.";8.5
39;Gestión de la Rotación y Retención;Tasa de Rotación General (Turnover Rate);Expresa qué porcentaje de la plantilla promedio abandona la organización en el periodo, incluyendo tanto las salidas voluntarias como las involuntarias. Es el indicador raíz de la gestión de la retención y el punto de entrada para el análisis de causas: por sí solo no diagnostica el problema, pero cuando se compara con el benchmark sectorial (referencia LATAM para software/TI: 18–25% anual) y se desglosa por tipo de baja, antigüedad y área, revela si el fenómeno es estructural o puntual, y si la causa es interna (clima, compensación, liderazgo) o externa (condiciones del mercado laboral).;Expresar el porcentaje de la plantilla promedio que abandona la organización en el periodo (incluyendo bajas voluntarias e involuntarias), como indicador raíz del análisis de retención, con el fin de detectar si el fenómeno es estructural o puntual, y proporcionar el punto de entrada para el análisis de causas que oriente las intervenciones de cultura, compensación o liderazgo.;(Total de bajas en el periodo / Headcount promedio del periodo) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: cierre 2025 (ano completo)
Datos:
   Headcount fin del ano (dic 2025):     3.143 (proyectado KPI 33)
  Total de bajas en el ano:                     864
Calculo:
  Tasa = (864 / 2.982) x 100 = 29%";"¿Qué porcentaje de la plantilla estamos perdiendo cada periodo y cómo se compara con el benchmark sectorial?
__ Gráfico de línea temporal con línea de benchmark sectorial superpuesta — La comparación contra benchmark es el dato que le da contexto al número. Sin ella el directivo no puede saber si el 15% de rotación es bueno o malo para su industria.";8.5
11;Desarrollo y Talento;Tasa de Promoción Interna (Internal Promotion Rate);Mide qué porcentaje de las vacantes en niveles superiores es cubierto por empleados de la propia organización en lugar de reclutas externos. Una tasa alta refleja la efectividad de los programas de desarrollo, la solidez del pipeline de talento interno y la percepción de oportunidades de crecimiento en los empleados. Desde el punto de vista financiero, la promoción interna reduce el costo por contratación y el tiempo de productividad, ya que el candidato interno ya conoce la cultura, los procesos y los sistemas de la empresa.;Medir la efectividad de los programas de desarrollo y la solidez del pipeline de talento interno como fuente de cobertura de vacantes en niveles superiores, con el fin de reducir el costo y el tiempo de integración asociados a la contratación externa, fortalecer la percepción de oportunidades de crecimiento entre los empleados actuales y mejorar la retención de perfiles de alto potencial.;(Vacantes de nivel superior cubiertas por empleados internos / Total de vacantes cubiertas en el periodo) _ 100;"Empresa: Textiles Andinos S.A.S. | Periodo: semestre 1-2025

Datos:
  Vacantes de nivel supervisor o superior cubiertas en el semestre: 40
  Cubiertas por empleados internos (operarios ascendidos a lider):  16
  Cubiertas por candidatos externos:                                                     24

Calculo:
  Tasa = (16 / 40) x 100 = 40%";"¿Qué porcentaje de las vacantes de nivel superior se cubrieron con talento interno y la tendencia mejora?
__ Gráfico de línea trimestral con anotaciones de hitos en tooltip — La línea revela si la tasa de promoción interna responde a las inversiones en desarrollo. Las anotaciones de hitos se muestran al pasar el cursor sobre cada punto.";8.5
33;Estructura y Demografía;Proyección de Headcount (Workforce Demand Forecast);Modelo predictivo que estima el número de empleados necesarios en un horizonte de 3 a 6 meses combinando tres variables: la tendencia de crecimiento histórico del headcount (estimada por regresión lineal o promedio móvil de los últimos 6–12 meses), la tasa de rotación promedio del periodo y la estacionalidad detectada en años anteriores. Su output permite a RRHH anticipar cuándo activar procesos de reclutamiento, dimensionar los recursos del área de selección y alinear el plan de dotación con el presupuesto aprobado. La precisión del modelo se mide con el MAPE: una desviación inferior al 10% en horizonte de 3 meses es el estándar de calidad de referencia.;Anticipar el número de empleados necesarios en un horizonte de tres a seis meses combinando tendencia histórica, tasa de rotación y estacionalidad, con el fin de activar los procesos de reclutamiento en el momento oportuno, dimensionar los recursos del área de selección, alinear el plan de dotación con el presupuesto aprobado y reducir tanto el costo de vacantes prolongadas como el de sobredotación no planificada.;"Headcount_proyectado(t) = Headcount_actual _ (1 + Tasa_crecimiento) _ Egresos_esperados(t) + Ingresos_planificados(t)

Donde Egresos_esperados = Headcount_actual _ Tasa_rotación_promedio
Y la tasa de crecimiento se estima por regresión lineal o promedio móvil de los últimos 6–12 meses.";"Empresa: Textiles Andinos S.A.S. | Proyeccion: para diciembre 2025 | Base: noviembre 2025 = 3.000 emp

Datos historicos:
  Tasa de crecimiento historica ultimos 6 meses: +0.5% mensual (crecimiento lento)
  Tasa de rotacion promedio mensual:              2.4% (72 bajas / 3.000)
  Ingresos planificados diciembre (temporada alta): 200 contrataciones aprobadas

Calculo para diciembre:
  Egresos esperados = 3.000 x 2.4% = 72 bajas esperadas
  Headcount proyectado = 3.000 x (1 + 0.5%) - 72 + 200
                       = 3.015 - 72 + 200 = 3.143 empleados

RESULTADO: 3.143 empleados proyectados para diciembre 2025";"¿Cuántos empleados necesitaremos en los próximos 3 a 6 meses y para cuándo debemos activar el reclutamiento?
__ Gráfico de líneas con tres series: histórico real (línea sólida), proyección futura (línea punteada con banda de confianza) y headcount presupuestado (línea de referencia horizontal) — El cruce entre la proyección y el presupuesto indica cuándo abrir nuevos procesos de selección.";8.5
